Date,Product,Category,Region,Sales,Profit,Quantity
01-01-2025,Desks,Furniture,West,150005.41,50202.56,9
04-01-2025,T-Shirts,Clothing,East,38198.63,10677.08,14
05-01-2025,Clocks,Home Decor,West,21100.91,7581.41,6
20-01-2025,Jeans,Clothing,South,52503.99,14745.07,12
24-01-2025,Sneakers,Clothing,South,3013.21,743.63,1
27-01-2025,Lamps,Furniture,East,75433.36,32976.74,5
30-01-2025,Monitors,Electronics,North,365501.95,130239.32,7
30-01-2025,Jeans,Clothing,West,59380.92,15939.36,15
01-02-2025,Rug,Home Decor,South,7964.1,2875.85,3
06-02-2025,Vases,Home Decor,South,33879.07,7356.2,10
06-02-2025,Headphones,Electronics,West,237902.49,79485.68,4
08-02-2025,Clocks,Home Decor,North,5858.19,1767.8,2
08-02-2025,Office Chairs,Furniture,West,256508.42,98836.0,14
08-02-2025,Headphones,Electronics,North,636555.08,120724.29,14
11-02-2025,Office Chairs,Furniture,South,216032.34,68385.66,12
16-02-2025,Jackets,Clothing,South,4207.93,1218.69,1
17-02-2025,Monitors,Electronics,East,673659.22,123593.33,13
27-02-2025,Bookshelves,Furniture,North,19710.03,7080.34,1
02-03-2025,Smartphones,Electronics,South,331155.12,70908.32,7
07-03-2025,Scented Candles,Home Decor,South,33510.36,10760.65,12
08-03-2025,Smartphones,Electronics,West,265757.09,116244.68,8
09-03-2025,Desks,Furniture,East,93087.24,23815.89,7
13-03-2025,Scented Candles,Home Decor,East,31487.48,12441.07,12
14-03-2025,Tablets,Electronics,West,49384.66,7410.21,1
16-03-2025,Jackets,Clothing,South,13800.74,5242.17,4
18-03-2025,T-Shirts,Clothing,South,32524.53,9478.43,8
22-03-2025,Rug,Home Decor,North,15074.89,4024.94,6
26-03-2025,Dresses,Clothing,North,57376.39,16705.15,13
31-03-2025,Office Chairs,Furniture,East,250071.35,40313.76,12
03-04-2025,Jeans,Clothing,East,12413.9,2892.37,4
10-04-2025,Jeans,Clothing,East,45653.61,17843.2,10
10-04-2025,Rug,Home Decor,South,45045.9,9256.2,14
12-04-2025,Bookshelves,Furniture,West,273836.17,101461.03,13
17-04-2025,Lamps,Furniture,West,297099.55,67897.05,15
19-04-2025,Sofas,Furniture,West,73999.24,17275.66,4
20-04-2025,Scented Candles,Home Decor,South,24978.14,7346.94,12
20-04-2025,Lamps,Furniture,East,50393.96,16981.24,3
21-04-2025,Clocks,Home Decor,North,6224.63,1187.1,2
21-04-2025,Vases,Home Decor,West,32497.27,11629.17,13
24-04-2025,Headphones,Electronics,South,611616.22,140451.49,10
26-04-2025,Dresses,Clothing,South,48600.08,19489.07,10
29-04-2025,Desks,Furniture,South,195294.84,31231.81,14
30-04-2025,Desks,Furniture,East,240895.57,84733.06,14
30-04-2025,Clocks,Home Decor,North,7104.25,2603.15,2
01-05-2025,T-Shirts,Clothing,West,31380.07,10204.69,9
06-05-2025,Monitors,Electronics,South,317772.94,80164.2,7
08-05-2025,Desks,Furniture,North,150506.83,28275.16,10
08-05-2025,Clocks,Home Decor,South,30838.38,7036.85,15
09-05-2025,Office Chairs,Furniture,West,57710.07,18542.46,4
13-05-2025,Lamps,Furniture,East,110631.45,19146.5,6
13-05-2025,Sofas,Furniture,East,340175.05,113419.24,15
14-05-2025,Sneakers,Clothing,East,58256.71,18218.65,12
15-05-2025,Bookshelves,Furniture,North,80405.44,30206.42,4
15-05-2025,Sofas,Furniture,East,322266.12,95856.09,15
17-05-2025,T-Shirts,Clothing,East,24338.31,4192.52,5
18-05-2025,Clocks,Home Decor,North,13131.05,3554.31,4
18-05-2025,Monitors,Electronics,West,526886.5,170753.71,12
23-05-2025,Office Chairs,Furniture,South,270098.3,69859.62,13
23-05-2025,Office Chairs,Furniture,West,72924.28,14595.75,3
31-05-2025,Wall Art,Home Decor,East,12777.33,5635.51,5
03-06-2025,Bookshelves,Furniture,West,61392.0,21747.74,3
04-06-2025,Bookshelves,Furniture,North,255361.75,102136.68,15
09-06-2025,Laptops,Electronics,West,406846.58,134683.47,11
13-06-2025,Jeans,Clothing,South,31843.82,12229.14,11
16-06-2025,Scented Candles,Home Decor,East,6817.5,2752.94,3
18-06-2025,Monitors,Electronics,East,640407.32,272437.35,14
21-06-2025,Scented Candles,Home Decor,West,36289.2,11669.89,10
22-06-2025,Headphones,Electronics,West,460685.72,118915.88,11
23-06-2025,Scented Candles,Home Decor,East,28459.4,11790.62,8
26-06-2025,Sofas,Furniture,South,61785.78,9994.3,3
29-06-2025,Jeans,Clothing,East,25626.34,4581.65,9
01-07-2025,Tablets,Electronics,North,340403.6,100004.04,7
06-07-2025,Bookshelves,Furniture,North,32925.28,12421.56,2
07-07-2025,Desks,Furniture,North,61894.58,26082.3,3
10-07-2025,Tablets,Electronics,West,553515.98,166751.82,11
12-07-2025,Smartphones,Electronics,South,688583.73,226490.83,13
13-07-2025,Bookshelves,Furniture,East,195129.64,65483.37,8
17-07-2025,Tablets,Electronics,West,257533.06,58156.5,7
18-07-2025,Tablets,Electronics,South,721306.36,122903.67,14
20-07-2025,Scented Candles,Home Decor,South,33897.67,7311.77,10
23-07-2025,Headphones,Electronics,West,500693.92,166291.87,11
27-07-2025,Sneakers,Clothing,West,19516.35,7887.57,5
27-07-2025,Desks,Furniture,North,36165.12,13207.77,2
27-07-2025,Jeans,Clothing,East,27418.97,8267.86,6
28-07-2025,Tablets,Electronics,East,33303.0,12699.63,1
28-07-2025,Sneakers,Clothing,East,8956.18,2197.47,2
29-07-2025,Bookshelves,Furniture,East,35538.75,10132.32,2
30-07-2025,Scented Candles,Home Decor,East,39980.67,11349.61,12
02-08-2025,Jeans,Clothing,North,63449.51,10283.73,13
02-08-2025,Scented Candles,Home Decor,North,41596.68,16861.21,12
02-08-2025,Office Chairs,Furniture,South,201574.54,31147.36,11
